  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 16:15:41	  -4.000	   0.000	 1022.78	   15.10	     7.5	    32.9	    43.5	    71.3	   -12.5	   -13.5
       0	 16:16:31	  -3.005	   0.000	 1022.79	   15.08	     8.7	    35.0	    45.0	    70.0	   -13.0	   -15.5
       0	 16:17:14	  -2.005	   0.000	 1022.76	   15.06	     9.3	    35.5	    46.0	    69.0	   -13.5	   -14.5
       0	 16:17:40	  -1.005	   0.000	 1022.77	   15.04	     7.3	    33.8	    46.7	    69.0	   -14.5	   -14.2
       0	 16:18:18	  -0.005	   0.000	 1022.78	   15.04	     7.0	    33.5	    47.2	    68.8	   -14.5	   -14.5
       0	 16:18:41	   0.995	   0.000	 1022.81	   15.02	     7.1	    34.1	    47.5	    68.0	   -14.5	   -13.9
       0	 16:19:04	   1.995	   0.000	 1022.83	   15.02	     6.2	    35.6	    47.5	    68.2	   -14.8	   -13.9
       0	 16:19:41	   2.995	   0.000	 1022.75	   15.00	    -3.2	    39.5	    47.0	    68.0	   -13.5	   -15.7
       0	 16:20:11	   3.995	   0.000	 1022.73	   14.98	    -5.3	    38.3	    47.5	    67.8	   -13.7	   -15.3
       0	 16:20:43	   4.995	   0.000	 1022.78	   14.98	     3.0	    36.2	    48.5	    67.0	   -14.8	   -13.0
       0	 16:21:05	   5.995	   0.000	 1022.76	   14.98	     8.1	    31.1	    49.5	    66.8	   -16.5	   -10.8
       0	 16:21:36	   6.995	   0.000	 1022.78	   14.96	     8.0	    29.8	    49.9	    66.3	   -17.3	    -9.8
       0	 16:22:15	   7.995	   0.000	 1022.79	   14.94	     7.4	    26.0	    51.3	    66.1	   -18.9	    -8.3
       0	 16:22:41	   9.000	   0.000	 1022.77	   14.94	     5.8	    25.0	    51.0	    66.0	   -19.1	    -7.7
       0	 16:23:04	  10.000	   0.000	 1022.77	   14.94	     5.6	    24.1	    51.1	    66.2	   -19.5	    -7.6
       0	 16:23:33	  11.000	   0.000	 1022.78	   14.92	     6.7	    23.7	    51.5	    65.0	   -19.9	    -6.5
       0	 16:24:02	  12.005	   0.000	 1022.77	   14.90	     7.7	    19.5	    52.0	    65.5	   -21.0	    -4.5
       0	 16:24:37	  13.000	   0.000	 1022.76	   14.88	     8.4	    21.2	    52.5	    65.3	   -21.0	    -4.5
       0	 16:25:07	  13.995	   0.000	 1022.78	   14.86	     6.0	    16.5	    52.5	    66.0	   -21.2	    -2.7
       0	 16:25:32	  14.995	   0.000	 1022.78	   14.86	     3.5	    18.0	    52.5	    64.5	   -20.6	    -4.0
       0	 16:26:05	  16.005	   0.000	 1022.81	   14.84	     1.0	    14.5	    52.5	    65.5	   -20.5	    -3.0
       0	 16:26:34	  17.000	   0.000	 1022.83	   14.82	     0.4	    15.0	    52.5	    65.0	   -20.4	    -2.4
       0	 16:27:13	  18.005	   0.000	 1022.80	   14.80	    -3.3	    11.1	    52.5	    65.1	   -21.2	    -2.6
       0	 16:27:34	  19.005	   0.000	 1022.82	   14.80	    -5.7	    14.0	    52.5	    64.9	   -20.6	    -3.0
