   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.237649   0.003470   0.007129   0.010600   0.000000   0.000000   0.062421   0.000000   0.000000   40.0000     0.0615
   -2.500     0.000  -0.197895   0.002453   0.007108   0.009561   0.000000   0.000000   0.052474   0.000000  -0.000000   40.0000     0.0622
   -2.000     0.000  -0.158849   0.001584   0.007066   0.008649   0.000000   0.000000   0.042548   0.000000   0.000000   40.0000     0.0629
   -1.500     0.000  -0.119725   0.000904   0.007076   0.007979   0.000000   0.000000   0.032588   0.000000  -0.000000   40.0000     0.0643
   -1.000     0.000  -0.080541   0.000412   0.007044   0.007457   0.000000   0.000000   0.022594   0.000000   0.000000   40.0000     0.0679
   -0.500     0.000  -0.041328   0.000111   0.007022   0.007133   0.000000   0.000000   0.012582   0.000000   0.000000   40.0000     0.1047
    0.000     0.000  -0.002114   0.000001   0.007041   0.007042   0.000000   0.000000   0.002565   0.000000   0.000000   40.0000     0.1827
    0.500     0.000   0.037070   0.000080   0.007028   0.007108   0.000000  -0.000000  -0.007423   0.000000  -0.000000   40.0000     0.0841
    1.000     0.000   0.076274   0.000350   0.007041   0.007390   0.000000  -0.000000  -0.017435   0.000000  -0.000000   40.0000     0.0539
    1.500     0.000   0.115469   0.000810   0.007064   0.007874   0.000000  -0.000000  -0.027440   0.000000   0.000000   40.0000     0.0556
    2.000     0.000   0.154610   0.001459   0.007082   0.008541   0.000000  -0.000000  -0.037401   0.000000   0.000000   40.0000     0.0565
    2.500     0.000   0.193612   0.002295   0.007095   0.009390   0.000000  -0.000000  -0.047290   0.000000   0.000000   40.0000     0.0570
    3.000     0.000   0.232459   0.003315   0.007134   0.010449   0.000000  -0.000000  -0.057088   0.000000  -0.000000   40.0000     0.0573
    3.500     0.000   0.271030   0.004515   0.007156   0.011671   0.000000  -0.000000  -0.066724   0.000000  -0.000000   40.0000     0.0575
    4.000     0.000   0.309489   0.005891   0.007172   0.013064   0.000000  -0.000000  -0.076285   0.000000   0.000000   40.0000     0.0575
    4.500     0.000   0.347899   0.007454   0.007215   0.014669   0.000000  -0.000000  -0.085856   0.000000   0.000000   40.0000     0.0575
    5.000     0.000   0.386212   0.009194   0.007275   0.016469   0.000000  -0.000000  -0.095373   0.000000   0.000000   40.0000     0.0575
    5.500     0.000   0.423951   0.011086   0.007365   0.018452   0.000000  -0.000000  -0.104595   0.000000  -0.000000   40.0000     0.0574
    6.000     0.000   0.459883   0.013076   0.007614   0.020690   0.000000  -0.000000  -0.113023   0.000000   0.000000   40.0000     0.0572
    6.500     0.000   0.492986   0.015083   0.008182   0.023264   0.000000  -0.000000  -0.120262   0.000000   0.000000   40.0000     0.0567
    7.000     0.000   0.523830   0.017089   0.009037   0.026126   0.000000  -0.000000  -0.126565   0.000000   0.000000   40.0000     0.0560
    7.500     0.000   0.555421   0.019245   0.009815   0.029060   0.000000  -0.000000  -0.133170   0.000000   0.000000   40.0000     0.0555
    8.000     0.000   0.587608   0.021551   0.010502   0.032054   0.000000  -0.000000  -0.139965   0.000000  -0.000000   40.0000     0.0551
    8.500     0.000   0.620035   0.024009   0.011126   0.035135   0.000000  -0.000000  -0.146809   0.000000   0.000000   40.0000     0.0546
    9.000     0.000   0.654029   0.026704   0.011769   0.038474   0.000000  -0.000000  -0.154472   0.000000   0.000000   40.0000     0.0544
    9.500     0.000   0.690508   0.029717   0.012454   0.042171   0.000000  -0.000000  -0.163485   0.000000   0.000000   40.0000     0.0545
   10.000     0.000   0.729472   0.033088   0.013199   0.046287   0.000000  -0.000000  -0.173916   0.000000   0.000000   40.0000     0.0548
   10.500     0.000   0.769695   0.036797   0.014022   0.050819   0.000000  -0.000000  -0.185229   0.000000   0.000000   40.0000     0.0552
   11.000     0.000   0.804016   0.040179   0.014847   0.055026   0.000000  -0.000000  -0.193603   0.000000   0.000000   40.0000     0.0552
   11.500     0.000   0.831419   0.043161   0.015660   0.058822   0.000000  -0.000000  -0.198599   0.000000  -0.000000   40.0000     0.0546
   12.000     0.000   0.855153   0.045908   0.016613   0.062521   0.000000  -0.000000  -0.202011   0.000000   0.000000   40.0000     0.0539
   12.500     0.000   0.878511   0.048679   0.017759   0.066438   0.000000  -0.000000  -0.205512   0.000000   0.000000   40.0000     0.0532
   13.000     0.000   0.901870   0.051456   0.018978   0.070435   0.000000  -0.000000  -0.209130   0.000000   0.000000   40.0000     0.0526
   13.500     0.000   0.925558   0.054330   0.020266   0.074596   0.000000  -0.000000  -0.213096   0.000000   0.000000   40.0000     0.0520
   14.000     0.000   0.948962   0.057255   0.021681   0.078935   0.000000  -0.000000  -0.217183   0.000000   0.000000   40.0000     0.0516
   14.500     0.000   0.971790   0.060161   0.023236   0.083396   0.000000  -0.000000  -0.221238   0.000000   0.000000   40.0000     0.0512
   15.000     0.000   0.993888   0.063086   0.024966   0.088052   0.000000  -0.000000  -0.225189   0.000000   0.000000   40.0000     0.0507
   15.500     0.000   1.014274   0.065860   0.026964   0.092824   0.000000  -0.000000  -0.228538   0.000000   0.000000   40.0000     0.0503
   16.000     0.000   1.032619   0.068495   0.029130   0.097625   0.000000  -0.000000  -0.231630   0.000000   0.000000   40.0000     0.0499
   16.500     0.000   1.048598   0.070984   0.031666   0.102650   0.000000  -0.000000  -0.234368   0.000000   0.000000   40.0000     0.0495
   17.000     0.000   1.061275   0.073230   0.034658   0.107888   0.000000  -0.000000  -0.236565   0.000000  -0.000000   40.0000     0.0492
   17.500     0.000   1.069537   0.075060   0.038276   0.113336   0.000000  -0.000000  -0.237957   0.000000   0.000000   40.0000     0.0489
