 alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.229203   0.003115   0.007298   0.010414  -0.000000  -0.000000   0.059714  -0.000000  -0.000000   40.0000     0.0610
   -2.500     0.000  -0.191535   0.002176   0.007273   0.009448  -0.000000  -0.000000   0.050227  -0.000000  -0.000000   40.0000     0.0614
   -2.000     0.000  -0.153830   0.001404   0.007237   0.008640  -0.000000  -0.000000   0.040724  -0.000000  -0.000000   40.0000     0.0620
   -1.500     0.000  -0.116096   0.000800   0.007247   0.008047  -0.000000   0.000000   0.031207  -0.000000  -0.000000   40.0000     0.0630
   -1.000     0.000  -0.078340   0.000364   0.007213   0.007578  -0.000000   0.000000   0.021678  -0.000000  -0.000000   40.0000     0.0650
   -0.500     0.000  -0.040570   0.000098   0.007195   0.007293  -0.000000   0.000000   0.012141  -0.000000  -0.000000   40.0000     0.0704
    0.000     0.000  -0.002792   0.000000   0.007214   0.007215  -0.000000   0.000000   0.002598  -0.000000  -0.000000   40.0000     0.2235
    0.500     0.000   0.034986   0.000072   0.007201   0.007274  -0.000000   0.000000  -0.006948  -0.000000  -0.000000   40.0000     0.0460
    1.000     0.000   0.072756   0.000313   0.007211   0.007524  -0.000000   0.000000  -0.016493  -0.000000  -0.000000   40.0000     0.0528
    1.500     0.000   0.110512   0.000723   0.007234   0.007957  -0.000000   0.000000  -0.026035  -0.000000  -0.000000   40.0000     0.0550
    2.000     0.000   0.148245   0.001302   0.007252   0.008554  -0.000000   0.000000  -0.035571  -0.000000  -0.000000   40.0000     0.0560
    2.500     0.000   0.185950   0.002049   0.007265   0.009313  -0.000000   0.000000  -0.045099  -0.000000  -0.000000   40.0000     0.0566
    3.000     0.000   0.223618   0.002963   0.007296   0.010259  -0.000000   0.000000  -0.054614  -0.000000  -0.000000   40.0000     0.0570
    3.500     0.000   0.261242   0.004044   0.007324   0.011368  -0.000000   0.000000  -0.064115  -0.000000  -0.000000   40.0000     0.0573
    4.000     0.000   0.298815   0.005291   0.007336   0.012628  -0.000000   0.000000  -0.073599  -0.000000  -0.000000   40.0000     0.0575
    4.500     0.000   0.336330   0.006703   0.007372   0.014075  -0.000000   0.000000  -0.083062  -0.000000  -0.000000   40.0000     0.0576
    5.000     0.000   0.373780   0.008279   0.007424   0.015704  -0.000000   0.000000  -0.092503  -0.000000  -0.000000   40.0000     0.0577
    5.500     0.000   0.411157   0.010018   0.007502   0.017520  -0.000000   0.000000  -0.101918  -0.000000  -0.000000   40.0000     0.0578
    6.000     0.000   0.448454   0.011918   0.007692   0.019610  -0.000000   0.000000  -0.111307  -0.000000  -0.000000   40.0000     0.0578
    6.500     0.000   0.485665   0.013978   0.008251   0.022229  -0.000000   0.000000  -0.120676  -0.000000  -0.000000   40.0000     0.0578
    7.000     0.000   0.522782   0.016197   0.009168   0.025364  -0.000000   0.000000  -0.130024  -0.000000  -0.000000   40.0000     0.0578
    7.500     0.000   0.559799   0.018572   0.009983   0.028555  -0.000000   0.000000  -0.139334  -0.000000  -0.000000   40.0000     0.0578
    8.000     0.000   0.596707   0.021102   0.010697   0.031799  -0.000000   0.000000  -0.148605  -0.000000  -0.000000   40.0000     0.0578
    8.500     0.000   0.633502   0.023784   0.011376   0.035160  -0.000000   0.000000  -0.157833  -0.000000  -0.000000   40.0000     0.0577
    9.000     0.000   0.670175   0.026618   0.012049   0.038667  -0.000000   0.000000  -0.167018  -0.000000  -0.000000   40.0000     0.0577
    9.500     0.000   0.706720   0.029600   0.012729   0.042329  -0.000000   0.000000  -0.176158  -0.000000  -0.000000   40.0000     0.0576
   10.000     0.000   0.743130   0.032728   0.013416   0.046145  -0.000000   0.000000  -0.185249  -0.000000  -0.000000   40.0000     0.0575
   10.500     0.000   0.779398   0.036001   0.014147   0.050148  -0.000000   0.000000  -0.194290  -0.000000  -0.000000   40.0000     0.0574
   11.000     0.000   0.815519   0.039414   0.015106   0.054521  -0.000000   0.000000  -0.203289  -0.000000  -0.000000   40.0000     0.0574
   11.500     0.000   0.851485   0.042967   0.016588   0.059554  -0.000000   0.000000  -0.212258  -0.000000  -0.000000   40.0000     0.0573
   12.000     0.000   0.887290   0.046655   0.018256   0.064911  -0.000000   0.000000  -0.221181  -0.000000  -0.000000   40.0000     0.0572
   12.500     0.000   0.922928   0.050477   0.020111   0.070588  -0.000000   0.000000  -0.230056  -0.000000  -0.000000   40.0000     0.0570
   13.000     0.000   0.958393   0.054429   0.022333   0.076762  -0.000000   0.000000  -0.238892  -0.000000  -0.000000   40.0000     0.0569
   13.500     0.000   0.993678   0.058508   0.025496   0.084003  -0.000000   0.000000  -0.247723   0.000000  -0.000000   40.0000     0.0568
