 alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.217185   0.002801   0.007123   0.009924   0.000000   0.000000   0.053841  -0.000000   0.000000   40.0000     0.0593
   -2.500     0.000  -0.181559   0.001957   0.007093   0.009051   0.000000   0.000000   0.045337  -0.000000  -0.000000   40.0000     0.0598
   -2.000     0.000  -0.145900   0.001264   0.007065   0.008329  -0.000000   0.000000   0.036821  -0.000000  -0.000000   40.0000     0.0604
   -1.500     0.000  -0.110213   0.000722   0.007076   0.007798  -0.000000   0.000000   0.028294  -0.000000  -0.000000   40.0000     0.0614
   -1.000     0.000  -0.074506   0.000330   0.007040   0.007370  -0.000000   0.000000   0.019759  -0.000000   0.000000   40.0000     0.0634
   -0.500     0.000  -0.038785   0.000090   0.007025   0.007115  -0.000000   0.000000   0.011219  -0.000000  -0.000000   40.0000     0.0692
    0.000     0.000  -0.003057   0.000001   0.007043   0.007044   0.000000   0.000000   0.002676  -0.000000  -0.000000   40.0000     0.2099
    0.500     0.000   0.032671   0.000063   0.007031   0.007094   0.000000  -0.000000  -0.005868  -0.000000   0.000000   40.0000     0.0429
    1.000     0.000   0.068394   0.000277   0.007038   0.007315   0.000000  -0.000000  -0.014408  -0.000000   0.000000   40.0000     0.0503
    1.500     0.000   0.104103   0.000642   0.007060   0.007703   0.000000  -0.000000  -0.022944  -0.000000  -0.000000   40.0000     0.0527
    2.000     0.000   0.139793   0.001159   0.007078   0.008237   0.000000  -0.000000  -0.031473  -0.000000   0.000000   40.0000     0.0538
    2.500     0.000   0.175457   0.001826   0.007091   0.008917   0.000000  -0.000000  -0.039991  -0.000000  -0.000000   40.0000     0.0545
    3.000     0.000   0.211087   0.002643   0.007115   0.009758   0.000000  -0.000000  -0.048497  -0.000000  -0.000000   40.0000     0.0550
    3.500     0.000   0.246678   0.003609   0.007148   0.010757   0.000000  -0.000000  -0.056988  -0.000000   0.000000   40.0000     0.0553
    4.000     0.000   0.282223   0.004725   0.007157   0.011881   0.000000  -0.000000  -0.065461  -0.000000   0.000000   40.0000     0.0556
    4.500     0.000   0.317716   0.005988   0.007185   0.013173   0.000000  -0.000000  -0.073913  -0.000000  -0.000000   40.0000     0.0558
    5.000     0.000   0.353148   0.007398   0.007229   0.014627   0.000000  -0.000000  -0.082343  -0.000000  -0.000000   40.0000     0.0559
    5.500     0.000   0.388515   0.008954   0.007291   0.016245   0.000000  -0.000000  -0.090748  -0.000000  -0.000000   40.0000     0.0561
    6.000     0.000   0.423810   0.010654   0.007393   0.018047   0.000000  -0.000000  -0.099126  -0.000000   0.000000   40.0000     0.0562
    6.500     0.000   0.459026   0.012498   0.007700   0.020198   0.000000  -0.000000  -0.107480  -0.000000  -0.000000   40.0000     0.0563
    7.000     0.000   0.494156   0.014484   0.008513   0.022997   0.000000  -0.000000  -0.115817  -0.000000   0.000000   40.0000     0.0564
    7.500     0.000   0.529195   0.016610   0.009351   0.025962   0.000000  -0.000000  -0.124123  -0.000000   0.000000   40.0000     0.0565
    8.000     0.000   0.564135   0.018876   0.010065   0.028940   0.000000  -0.000000  -0.132390  -0.000000  -0.000000   40.0000     0.0566
    8.500     0.000   0.598972   0.021278   0.010724   0.032002   0.000000  -0.000000  -0.140617  -0.000000  -0.000000   40.0000     0.0567
    9.000     0.000   0.633697   0.023815   0.011360   0.035175   0.000000  -0.000000  -0.148803  -0.000000   0.000000   40.0000     0.0568
    9.500     0.000   0.668306   0.026486   0.011992   0.038478   0.000000  -0.000000  -0.156945  -0.000000  -0.000000   40.0000     0.0568
   10.000     0.000   0.702792   0.029288   0.012636   0.041924   0.000000  -0.000000  -0.165043  -0.000000   0.000000   40.0000     0.0569
   10.500     0.000   0.737149   0.032219   0.013286   0.045504   0.000000  -0.000000  -0.173092  -0.000000  -0.000000   40.0000     0.0570
   11.000     0.000   0.771370   0.035277   0.014000   0.049277   0.000000  -0.000000  -0.181095  -0.000000  -0.000000   40.0000     0.0571
   11.500     0.000   0.805451   0.038459   0.014959   0.053418   0.000000  -0.000000  -0.189057  -0.000000   0.000000   40.0000     0.0571
   12.000     0.000   0.839384   0.041764   0.016401   0.058165   0.000000  -0.000000  -0.196991   0.000000   0.000000   40.0000     0.0572
   12.500     0.000   0.873165   0.045188   0.017978   0.063165   0.000000  -0.000000  -0.204878   0.000000   0.000000   40.0000     0.0573
   13.000     0.000   0.906787   0.048728   0.019733   0.068461   0.000000  -0.000000  -0.212719   0.000000  -0.000000   40.0000     0.0574
   13.500     0.000   0.940245   0.052384   0.021801   0.074185   0.000000  -0.000000  -0.220521   0.000000  -0.000000   40.0000     0.0574
   14.000     0.000   0.973533   0.056150   0.024663   0.080813   0.000000  -0.000000  -0.228313   0.000000  -0.000000   40.0000     0.0575
